file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$System,isAnalyticsEnabled/0,false,292,0,0,0,0,2,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\config\ExternalAppDepConfig.java,stirling.software.SPDF.config.ExternalAppDepConfig$Anonymous1,(initializer 1),false,34,0,1,0,1,1,2,8,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\repository\AuthorityRepository.java,stirling.software.SPDF.repository.AuthorityRepository,findByUser_Username/1[java.lang.String],false,13,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\repository\AuthorityRepository.java,stirling.software.SPDF.repository.AuthorityRepository,findByUserId/1[long],false,15,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\config\LogbackPropertyLoader.java,stirling.software.SPDF.config.LogbackPropertyLoader,getPropertyValue/0,false,7,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\security\CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"CreateSignature/2[java.security.KeyStore,char[]]",true,234,2,1,1,0,2,5,12,0,2,2,5,0,0,0,0,1,0,4,0,3,0,1,0,0,0,24,1,1,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\security\CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",false,248,21,2,1,1,2,51,66,1,27,4,51,0,0,0,0,2,0,1,15,27,3,3,0,0,0,72,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\utils\misc\InvertFullColorStrategy.java,stirling.software.SPDF.utils.misc.InvertFullColorStrategy,"InvertFullColorStrategy/2[stirling.software.SPDF.utils.misc.MultipartFile,stirling.software.SPDF.model.api.misc.ReplaceAndInvert]",true,26,2,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\utils\misc\InvertFullColorStrategy.java,stirling.software.SPDF.utils.misc.InvertFullColorStrategy,replace/0,false,31,7,2,0,2,6,22,38,1,12,0,22,2,1,1,2,2,0,1,4,14,0,4,0,0,0,40,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\utils\misc\InvertFullColorStrategy.java,stirling.software.SPDF.utils.misc.InvertFullColorStrategy,invertImageColors/1[java.awt.image.BufferedImage],false,99,0,1,1,0,3,8,12,0,7,1,8,0,0,2,0,0,0,0,5,7,3,2,0,0,0,13,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\utils\misc\InvertFullColorStrategy.java,stirling.software.SPDF.utils.misc.InvertFullColorStrategy,convertToBufferedImageTpFile/1[java.awt.image.BufferedImage],false,117,0,1,1,0,1,2,5,1,1,1,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,11,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\Factories\ReplaceAndInvertColorFactory.java,stirling.software.SPDF.Factories.ReplaceAndInvertColorFactory,"replaceAndInvert/5[stirling.software.SPDF.Factories.MultipartFile,stirling.software.SPDF.model.api.misc.ReplaceAndInvert,stirling.software.SPDF.model.api.misc.HighContrastColorCombination,java.lang.String,java.lang.String]",false,20,6,3,1,2,4,0,9,3,0,5,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,13,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$Driver,Driver/1[java.lang.String],true,336,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$Driver,toString/0,false,341,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$Security$OAUTH2,setScopes/1[java.lang.String],false,233,0,0,0,0,1,5,4,0,1,1,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$Security$OAUTH2,isSettingsValid/0,false,247,1,3,1,2,1,7,3,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$Security$OAUTH2,"isValid/2[java.lang.String,java.lang.String]",false,239,0,0,0,0,2,2,3,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$Security$OAUTH2,"isValid/2[java.util.Collection<java.lang.String>,java.lang.String]",false,243,0,0,0,0,2,1,3,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\InputStreamTemplateResource.java,stirling.software.SPDF.model.InputStreamTemplateResource,reader/0,false,20,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\InputStreamTemplateResource.java,stirling.software.SPDF.model.InputStreamTemplateResource,"InputStreamTemplateResource/2[java.io.InputStream,java.lang.String]",true,14,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\InputStreamTemplateResource.java,stirling.software.SPDF.model.InputStreamTemplateResource,getBaseName/0,false,36,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\InputStreamTemplateResource.java,stirling.software.SPDF.model.InputStreamTemplateResource,relative/1[java.lang.String],false,25,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\InputStreamTemplateResource.java,stirling.software.SPDF.model.InputStreamTemplateResource,getDescription/0,false,31,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\InputStreamTemplateResource.java,stirling.software.SPDF.model.InputStreamTemplateResource,exists/0,false,41,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\service\MetricsAggregatorService.java,stirling.software.SPDF.service.MetricsAggregatorService,"MetricsAggregatorService/3[stirling.software.SPDF.service.MeterRegistry,stirling.software.SPDF.service.PostHogService,stirling.software.SPDF.config.EndpointInspector]",true,31,4,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\service\MetricsAggregatorService.java,stirling.software.SPDF.service.MetricsAggregatorService,aggregateAndSendMetrics/0,false,38,4,2,0,2,15,21,40,6,9,0,21,0,0,0,3,0,0,15,5,8,1,2,0,0,1,25,1,2,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\config\security\session\SessionRepository.java,stirling.software.SPDF.config.security.session.SessionRepository,findBySessionId/1[java.lang.String],false,22,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\config\security\session\SessionRepository.java,stirling.software.SPDF.config.security.session.SessionRepository,"saveByPrincipalName/3[boolean,java.util.Date,java.lang.String]",false,24,4,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\config\security\session\SessionRepository.java,stirling.software.SPDF.config.security.session.SessionRepository,findByPrincipalName/1[java.lang.String],false,18,1,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\config\security\session\SessionRepository.java,stirling.software.SPDF.config.security.session.SessionRepository,findByExpired/1[boolean],false,20,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\org\apache\pdfbox\examples\util\DeletingRandomAccessFile.java,org.apache.pdfbox.examples.util.DeletingRandomAccessFile,DeletingRandomAccessFile/1[java.io.File],true,17,0,2,2,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\org\apache\pdfbox\examples\util\DeletingRandomAccessFile.java,org.apache.pdfbox.examples.util.DeletingRandomAccessFile,close/0,false,23,0,0,0,0,3,5,19,0,1,0,5,0,0,0,0,2,0,3,0,1,0,3,0,0,0,16,1,3,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\misc\FakeScanControllerWIP.java,stirling.software.SPDF.controller.api.misc.FakeScanControllerWIP,"rotate/2[java.awt.image.BufferedImage,double]",false,97,0,1,1,0,1,5,8,1,5,2,5,0,0,0,0,0,0,0,2,5,2,0,0,0,0,13,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\misc\FakeScanControllerWIP.java,stirling.software.SPDF.controller.api.misc.FakeScanControllerWIP,"softenEdges/2[java.awt.image.BufferedImage,int]",false,135,0,1,1,0,1,9,21,1,4,2,9,0,0,0,0,0,0,0,54,4,8,0,0,0,0,15,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\misc\FakeScanControllerWIP.java,stirling.software.SPDF.controller.api.misc.FakeScanControllerWIP,"addDustAndHairs/2[java.awt.image.BufferedImage,float]",false,198,0,1,1,0,4,13,32,0,16,2,13,0,0,2,0,0,4,0,23,17,11,2,0,0,0,30,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\misc\FakeScanControllerWIP.java,stirling.software.SPDF.controller.api.misc.FakeScanControllerWIP,linearStretch/1[java.awt.image.BufferedImage],false,269,0,1,1,0,7,4,29,1,15,1,4,0,0,4,0,0,24,0,27,21,25,3,0,0,0,18,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\misc\FakeScanControllerWIP.java,stirling.software.SPDF.controller.api.misc.FakeScanControllerWIP,processImage/1[java.awt.image.BufferedImage],false,84,1,7,1,6,1,6,9,1,0,1,6,6,1,0,0,0,0,0,5,4,0,0,0,0,0,17,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\misc\FakeScanControllerWIP.java,stirling.software.SPDF.controller.api.misc.FakeScanControllerWIP,"applyGaussianBlur/2[java.awt.image.BufferedImage,double]",false,108,1,1,1,0,5,2,21,1,12,2,2,0,0,3,1,0,3,0,7,15,12,2,0,0,0,21,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\misc\FakeScanControllerWIP.java,stirling.software.SPDF.controller.api.misc.FakeScanControllerWIP,fakeScan/1[stirling.software.SPDF.model.api.PDFFile],false,49,15,3,0,3,3,15,21,1,10,1,15,1,2,2,0,0,0,8,2,10,1,1,0,0,0,56,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\misc\FakeScanControllerWIP.java,stirling.software.SPDF.controller.api.misc.FakeScanControllerWIP,"addGaussianNoise/2[java.awt.image.BufferedImage,double]",false,241,0,1,1,0,3,7,21,0,10,2,7,0,0,2,0,0,9,0,18,16,12,2,0,0,0,19,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,getApiKey/0,false,74,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,setEnabled/1[boolean],false,110,0,5,5,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,getId/0,false,66,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,getSettings/0,false,82,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,setAuthorities/1[java.util.Set<stirling.software.SPDF.model.Authority>],false,126,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,isFirstLogin/0,false,58,0,2,2,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,setApiKey/1[java.lang.String],false,78,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,getAuthenticationType/0,false,114,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,getRoleName/0,false,54,2,2,0,2,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,getUsername/0,false,90,0,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,getPassword/0,false,98,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,setAuthenticationType/1[stirling.software.SPDF.model.AuthenticationType],false,118,1,5,5,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,"setSettings/1[java.util.Map<java.lang.String,java.lang.String>]",false,86,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,getAuthorities/0,false,122,1,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,addAuthority/1[stirling.software.SPDF.model.Authority],false,134,1,3,3,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,getRolesAsString/0,false,138,0,3,3,0,1,4,3,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,setFirstLogin/1[boolean],false,62,0,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,isEnabled/0,false,106,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,hasPassword/0,false,144,0,2,2,0,2,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,setId/1[java.lang.Long],false,70,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,setUsername/1[java.lang.String],false,94,0,5,5,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,addAuthorities/1[java.util.Set<stirling.software.SPDF.model.Authority>],false,130,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,setPassword/1[java.lang.String],false,102,0,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\exception\UnsupportedProviderException.java,stirling.software.SPDF.model.exception.UnsupportedProviderException,UnsupportedProviderException/1[java.lang.String],true,4,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\pipeline\PipelineProcessor.java,stirling.software.SPDF.controller.api.pipeline.PipelineProcessor$Anonymous1,getFilename/0,false,257,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\pipeline\PipelineProcessor.java,stirling.software.SPDF.controller.api.pipeline.PipelineProcessor$Anonymous2,getFilename/0,false,300,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\pipeline\PipelineProcessor.java,stirling.software.SPDF.controller.api.pipeline.PipelineProcessor$Anonymous3,getFilename/0,false,324,0,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\utils\GeneralUtils.java,stirling.software.SPDF.utils.GeneralUtils$Anonymous1,"postVisitDirectory/2[java.nio.file.Path,java.io.IOException]",false,64,0,0,0,0,1,1,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\utils\GeneralUtils.java,stirling.software.SPDF.utils.GeneralUtils$Anonymous1,"visitFile/2[java.nio.file.Path,java.nio.file.attribute.BasicFileAttributes]",false,57,0,0,0,0,1,1,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\pipeline\PipelineProcessor.java,stirling.software.SPDF.controller.api.pipeline.PipelineProcessor$Anonymous4,getFilename/0,false,360,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\config\MetricsFilter.java,stirling.software.SPDF.config.MetricsFilter,MetricsFilter/1[stirling.software.SPDF.config.MeterRegistry],true,26,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\config\MetricsFilter.java,stirling.software.SPDF.config.MetricsFilter,"doFilterInternal/3[stirling.software.SPDF.config.HttpServletRequest,stirling.software.SPDF.config.HttpServletResponse,stirling.software.SPDF.config.FilterChain]",false,33,6,1,0,1,3,11,10,0,4,3,11,0,0,0,1,0,1,5,0,4,0,1,0,0,0,21,4,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\LibreOfficeListener.java,stirling.software.SPDF.LibreOfficeListener,getInstance/0,false,26,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\LibreOfficeListener.java,stirling.software.SPDF.LibreOfficeListener,isListenerRunning/0,false,30,0,1,1,0,2,2,10,2,1,0,2,0,0,0,0,1,0,2,2,1,0,1,0,0,0,13,2,1,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\LibreOfficeListener.java,stirling.software.SPDF.LibreOfficeListener,stop/0,false,89,0,0,0,0,3,3,6,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,33,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\LibreOfficeListener.java,stirling.software.SPDF.LibreOfficeListener,LibreOfficeListener/0,true,24,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\LibreOfficeListener.java,stirling.software.SPDF.LibreOfficeListener,start/0,false,41,1,1,0,1,9,12,40,2,3,0,12,1,1,2,1,2,0,2,3,7,2,3,0,0,1,28,1,1,false
